date,open,high,low,close
2023-08-10,573.75,577.6,570.1,573.65
2023-08-09,575.0,575.0,568.35,573.75
2023-08-08,571.0,574.25,568.45,573.1
2023-08-07,577.0,577.0,566.65,567.9
2023-08-04,594.8,598.7,571.4,573.3
2023-08-03,598.7,600.85,585.0,590.5
2023-08-02,609.85,610.5,594.1,598.45
2023-08-01,620.2,620.85,610.6,611.85
2023-07-31,616.65,621.0,614.5,620.2
2023-07-28,616.4,619.9,613.6,616.05
2023-07-27,616.4,621.25,613.1,616.55
2023-07-26,612.0,616.35,609.15,615.15
2023-07-25,621.8,621.8,604.2,609.6
2023-07-24,615.05,621.9,614.3,617.65
2023-07-21,610.0,619.5,609.0,615.1
2023-07-20,601.4,610.8,598.75,610.05
2023-07-19,594.65,602.4,592.0,601.45
2023-07-18,603.05,604.05,588.75,592.35
2023-07-17,587.0,602.85,584.2,601.1
2023-07-14,586.75,591.3,580.7,584.4
2023-07-13,594.9,598.0,583.35,585.65
2023-07-12,589.0,594.5,588.2,589.25
2023-07-11,595.0,595.95,587.35,588.55
2023-07-10,594.65,599.8,590.25,592.6
2023-07-07,590.0,595.5,585.5,593.6
2023-07-06,590.4,593.5,589.1,592.5
2023-07-05,589.8,593.7,588.2,590.6
2023-07-04,588.2,595.95,582.25,589.25
2023-07-03,574.5,586.35,573.9,585.45
2023-06-30,574.0,574.0,570.2,572.85
2023-06-28,572.25,574.0,568.55,569.8
2023-06-27,558.25,567.95,555.65,566.1
2023-06-26,556.0,558.5,554.5,557.05
2023-06-23,562.0,562.1,553.8,554.6
2023-06-22,566.35,569.0,561.05,562.95
2023-06-21,567.4,569.5,565.65,566.35
2023-06-20,568.85,569.45,562.55,567.4
2023-06-19,571.25,572.75,565.9,568.85
2023-06-16,568.75,574.7,567.05,571.25
2023-06-15,576.0,576.7,565.25,566.5
2023-06-14,577.0,578.55,575.25,576.55
2023-06-13,579.45,581.4,574.25,576.4
2023-06-12,580.0,581.5,577.7,578.65
2023-06-09,588.0,589.1,576.75,578.7
2023-06-08,589.95,593.95,586.35,588.5
2023-06-07,588.0,590.6,586.0,589.2
2023-06-06,588.0,588.9,583.0,585.35
2023-06-05,588.5,589.8,586.0,587.2
2023-06-02,584.7,588.9,583.0,587.2
2023-06-01,581.8,586.4,581.0,582.75
2023-05-31,583.8,584.8,577.5,579.85
2023-05-30,595.0,595.5,591.5,592.8
2023-05-29,590.0,596.4,588.05,595.0
2023-05-26,581.25,587.75,580.55,586.0
2023-05-25,582.0,582.9,577.0,581.25
2023-05-24,579.8,585.25,578.25,582.7
2023-05-23,578.9,583.7,576.8,581.6
2023-05-22,577.5,580.3,573.45,577.15
2023-05-19,579.0,586.25,569.9,575.15
2023-05-18,590.3,593.9,571.4,574.2
2023-05-17,586.0,590.5,579.5,586.3
2023-05-16,584.0,590.4,582.0,586.3
2023-05-15,578.75,584.0,574.65,581.9
2023-05-12,574.7,580.75,571.55,578.15
2023-05-11,572.2,580.0,572.0,573.45
2023-05-10,575.0,575.0,563.25,572.2
2023-05-09,585.0,586.45,572.1,573.5
2023-05-08,577.65,587.6,577.35,583.6
